operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
VI,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,2G,5,Satisfactory,18.479021,74.0266974,Maharashtra,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,18.9520054,72.8296274,Maharashtra,April,2022
VI,Indoor,4G,1,Poor Voice Quality,18.9520106,72.8296332,Maharashtra,April,2022
VI,Indoor,4G,5,Satisfactory,23.16378018,77.44611533,Madhya Pradesh,April,2022
VI,Indoor,4G,5,Satisfactory,23.16378018,77.44611533,Madhya Pradesh,April,2022
VI,Indoor,4G,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
VI,Indoor,4G,1,Poor Voice Quality,18.9515765,72.8277303,Maharashtra,April,2022
Airtel,Indoor,4G,4,Satisfactory,18.6415431,73.7700805,Maharashtra,April,2022
VI,Indoor,3G,1,Poor Voice Quality,28.53557658,77.49760641,Uttar Pradesh,April,2022
RJio,Indoor,,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Outdoor,4G,1,Call Dropped,18.76522,73.35296,Maharashtra,April,2022
VI,Indoor,2G,5,Satisfactory,18.47888463,74.02650361,Maharashtra,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,4,Satisfactory,21.12306181,79.0678681,Maharashtra,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,18.45011295,73.85000282,Maharashtra,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,18.45011295,73.85000282,Maharashtra,April,2022
VI,Indoor,4G,3,Poor Voice Quality,21.12326857,79.06792057,Maharashtra,April,2022
VI,Indoor,4G,1,Poor Voice Quality,21.12326857,79.06792057,Maharashtra,April,2022
VI,Outdoor,4G,3,Satisfactory,21.12326857,79.06792057,Maharashtra,April,2022
Airtel,Indoor,,4,Satisfactory,13.93669177,75.54820777,Karnataka,April,2022
VI,Outdoor,3G,4,Satisfactory,21.12326857,79.06792057,Maharashtra,April,2022
RJio,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
Airtel,Indoor,,4,Satisfactory,13.92846295,75.56732022,Karnataka,April,2022
Airtel,Indoor,,5,Satisfactory,13.92854948,75.56760428,Karnataka,April,2022
VI,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
VI,Outdoor,,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,2,Call Dropped,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,4G,3,Satisfactory,18.9550194,72.8013704,Maharashtra,April,2022
VI,Indoor,2G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Outdoor,,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
BSNL,Indoor,3G,1,Poor Voice Quality,29.39344667,79.43988333,Uttarakhand,April,2022
VI,Outdoor,,1,Poor Voice Quality,19.06706826,72.87925967,Maharashtra,April,2022
RJio,Indoor,4G,5,Satisfactory,12.9566572,77.4896446,Karnataka,April,2022
Airtel,Indoor,,1,Call Dropped,21.13546738,72.77218274,Gujarat,April,2022
RJio,Outdoor,4G,3,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.16372545,77.44586203,Madhya Pradesh,April,2022
VI,Indoor,2G,5,Satisfactory,18.47888463,74.02650361,Maharashtra,April,2022
RJio,Outdoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.2328587,77.3993734,Madhya Pradesh,April,2022
VI,Indoor,2G,5,Satisfactory,18.47902,74.0266999,Maharashtra,April,2022
RJio,Outdoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5499611,73.94042282,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,18.52133344,73.85349323,Maharashtra,April,2022
VI,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,3,Satisfactory,18.9548808,72.8013725,Maharashtra,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,4,Satisfactory,18.52133344,73.85349323,Maharashtra,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.16372545,77.44586203,Madhya Pradesh,April,2022
Airtel,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.16372545,77.44586203,Madhya Pradesh,April,2022
VI,Indoor,4G,5,Satisfactory,23.16372545,77.44586203,Madhya Pradesh,April,2022
VI,Outdoor,4G,5,Satisfactory,19.42500464,81.60372024,Chhattisgarh,April,2022
VI,Indoor,2G,5,Satisfactory,18.4790212,74.0266985,Maharashtra,April,2022
BSNL,Outdoor,2G,4,Satisfactory,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Outdoor,2G,3,Call Dropped,-1.0,-1.0,,April,2022
VI,Outdoor,4G,3,Poor Voice Quality,21.13153321,79.06819411,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,21.14079582,79.06061487,Maharashtra,April,2022
VI,Indoor,4G,5,Satisfactory,23.21988089,77.42991814,Madhya Pradesh,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.21988089,77.42991814,Madhya Pradesh,April,2022
Airtel,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,,1,Call Dropped,-1.0,-1.0,,April,2022
Airtel,Outdoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197166,73.8561799,Maharashtra,April,2022
RJio,Indoor,4G,3,Satisfactory,22.1894157,75.8895214,Madhya Pradesh,April,2022
VI,Outdoor,4G,4,Satisfactory,21.12298339,79.06776376,Maharashtra,April,2022
BSNL,Indoor,2G,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,22.2051306,75.8651963,Madhya Pradesh,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,4G,5,Satisfactory,21.12298339,79.06776376,Maharashtra,April,2022
VI,Indoor,4G,3,Call Dropped,21.12298339,79.06776376,Maharashtra,April,2022
VI,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,24.21888015,88.54832855,West Bengal,April,2022
VI,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,1,Call Dropped,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,2,Poor Voice Quality,17.7581059,82.3693973,Andhra Pradesh,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,4G,1,Call Dropped,18.51975985,73.85622189,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.51975985,73.85622189,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.519788,73.8562075,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197215,73.8561785,Maharashtra,April,2022
VI,Indoor,,4,Satisfactory,18.51975985,73.85622189,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.52571131,73.8559691,Maharashtra,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,24.21895387,88.55120815,West Bengal,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5257972,73.85574683,Maharashtra,April,2022
BSNL,Indoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,22.96972931,76.10903263,Madhya Pradesh,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,22.96972931,76.10903263,Madhya Pradesh,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,24.21895387,88.55120815,West Bengal,April,2022
BSNL,Indoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,22.75450723,75.86585987,Madhya Pradesh,April,2022
VI,Outdoor,4G,3,Satisfactory,18.95498459,72.8011463,Maharashtra,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Outdoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,22.75450723,75.86585987,Madhya Pradesh,April,2022
VI,Outdoor,4G,5,Satisfactory,18.39008829,81.65870662,Chhattisgarh,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5257972,73.85574683,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197476,73.8561917,Maharashtra,April,2022
VI,Outdoor,,1,Call Dropped,18.5197873,73.85615248,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197873,73.85615248,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,18.5197873,73.85615248,Maharashtra,April,2022
Airtel,Indoor,4G,1,Call Dropped,10.5619675,76.1674931,Kerala,April,2022
Airtel,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,4,Satisfactory,20.93005183,78.97072896,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,20.93005183,78.97072896,Maharashtra,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,,5,Satisfactory,10.3029797,76.2231176,Kerala,April,2022
VI,Indoor,4G,5,Satisfactory,22.75450723,75.86585987,Madhya Pradesh,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,1,Call Dropped,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Outdoor,,1,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Outdoor,,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,3,Satisfactory,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,1,Call Dropped,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Outdoor,,1,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Outdoor,,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,3,Satisfactory,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Indoor,,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Poor Voice Quality,-1.0,-1.0,,April,2022
Airtel,Indoor,2G,4,Satisfactory,12.9361299,77.6946437,Karnataka,April,2022
VI,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,20.93005183,78.97072896,Maharashtra,April,2022
VI,Indoor,2G,5,Satisfactory,18.4790141,74.0266181,Maharashtra,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.9361253,77.6946476,Karnataka,April,2022
VI,Indoor,2G,5,Satisfactory,18.4790272,74.0267073,Maharashtra,April,2022
RJio,Travelling,4G,3,Call Dropped,12.95312265,77.53851081,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.96410757,77.56944451,Karnataka,April,2022
RJio,Indoor,4G,5,Satisfactory,12.97683984,77.57791172,Karnataka,April,2022
RJio,Indoor,4G,5,Satisfactory,12.97683984,77.57791172,Karnataka,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.9361298,77.694651,Karnataka,April,2022
Airtel,Indoor,4G,2,Poor Voice Quality,10.5619714,76.1675282,Kerala,April,2022
Airtel,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.97671995,77.57977402,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.97681141,77.57996892,Karnataka,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.9361315,77.6946504,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.9769404,77.5778785,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.97680048,77.57958901,Karnataka,April,2022
VI,Indoor,4G,4,Satisfactory,20.93005183,78.97072896,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,20.93005183,78.97072896,Maharashtra,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.96940104,77.70669547,Karnataka,April,2022
Airtel,Indoor,4G,1,Call Dropped,18.57813349,73.81827482,Maharashtra,April,2022
VI,Indoor,4G,3,Satisfactory,20.93005183,78.97072896,Maharashtra,April,2022
VI,Indoor,4G,1,Poor Voice Quality,18.57852944,73.8175541,Maharashtra,April,2022
RJio,Outdoor,4G,5,Satisfactory,12.88228259,77.72576132,Karnataka,April,2022
Airtel,Travelling,4G,1,Poor Voice Quality,18.45011295,73.85000282,Maharashtra,April,2022
Airtel,Indoor,4G,2,Poor Voice Quality,18.45011295,73.85000282,Maharashtra,April,2022
RJio,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,22.17951667,75.86294833,Madhya Pradesh,April,2022
RJio,Indoor,4G,5,Satisfactory,12.87915,77.7246283,Karnataka,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197873,73.85615248,Maharashtra,April,2022
VI,Outdoor,4G,4,Satisfactory,18.5197456,73.8561759,Maharashtra,April,2022
VI,Indoor,,4,Satisfactory,18.51976325,73.85617368,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,18.5197271,73.8561754,Maharashtra,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,,4,Satisfactory,12.9360844,77.6946514,Karnataka,April,2022
VI,Outdoor,4G,4,Satisfactory,18.51976325,73.85617368,Maharashtra,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.9358756,77.6945104,Karnataka,April,2022
Airtel,Indoor,2G,4,Satisfactory,12.9361395,77.6946495,Karnataka,April,2022
Airtel,Indoor,2G,4,Satisfactory,12.9361376,77.6946417,Karnataka,April,2022
VI,Travelling,4G,5,Satisfactory,23.16096952,77.45547121,Madhya Pradesh,April,2022
Airtel,Indoor,4G,4,Satisfactory,12.9361027,77.694648,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
